12345|12345D|R2|123|Shell|51368||202504|202506
123|123|123|123|123|51368||202512|202513
222|222|2|3|Pads|64115||202513|202514
123|123|33|1|shell|51368||202501|202509
123|123|123|123|shell|51368||202501|202520
444|4444|2|456|shell|51368||202513|202514
12345|8888|8888D|2|Shell|59410||202514|202516
12345|8888|8888D|5|Pads|59206||202514|202516
12345|8888|8888D|10|Vortex Breaker|59206||202514|202516
45678|8888|8888D|2|Shell|59410||202514|202516
45678|8888|8888D|5|Pads|59206||202514|202516
45678|8888|8888D|10|Vortex Breaker|59206||202514|202516
11023|8888|8888D|2|Shell|59410||202514|202516
11023|8888|8888D|5|Pads|59206||202514|202516
11023|8888|8888D|10|Vortex Breaker|59206||202514|202516
11111|8888|8888D|2|Shell|59410||202514|202516
11111|8888|8888D|5|Pads|59206||202514|202516
11111|8888|8888D|10|Vortex Breaker|59206||202514|202516
22222|22222D|3|2|Shell|51368|PL .7700|202512|202515
22222|22222D|3|5|Wear Pad|59206||202512|202515
11023|8888|8888D|12|Vortex Breaker|59206||202514|202516
